Time	Quote	Title of book	Author
06:02	Not two minutes past six. No. Nobody sleeps in, we're not a holiday camp. Now. I have more telephone calls to make.'	The Bone Clocks	David Mitchell
06:03	I mean three minutes after six.' He laughed as he kept turning the dial. 'I remember once, a lad in Galway who didn't understand that. At midnight he set the timer to go off at one minute after twelve, in what he thought would be the afternoon.	Cathedral	Nelson DeMille
06:04	It was four minutes past six in the morning. She shivered. She waited. She stretched because she had been sat in her car for three and a half hours before the milk float had turned into the street.	Heart of Danger	Gerald Seymour
06:05	A second man went in and found the shop empty, as he thought, at five minutes past six. That puts the time at between 5:30 and 6:05.	The ABC Murders	Agatha Christie
06:06	At 6:06, every toilet on Merit Street suddenly exploded in a geyser of shit and raw sewage as some unimaginable reversal took place in the pipes which fed the holding tanks of the new waste-treatment plant in the Barrens.	IT	Stephen King
06:07	A family burned to death in a house-fire in Kreuzberg, a stabbing outside a bar in Wedding, a woman beaten to death in Spandau. The record of March's' own disrupted morning was last on the list: 06:07 [O] (that meant notification had come from the Orpo) 1H Havel/March.	Fatherland	Robert Harris
06:08	At six oh-eight a.m. two men wearing ragged trench coats approached the Casino. The shorter of the men burst into flames.	Magic Bleeds	Ilona Andrews
06:09	_6:09 a.m._ Annabel Reade listens to the alarm under her pillow. In the dim light of the bedroom she sees the paging signal blinking softly on the computer screen. Jasper is calling her, tapping out the opening lines of her favorite book, _Animal Farm_.	Running Wild	J. G. Ballard
06:10	The bus left the station at ten past six - and she sat proud, like an accustomed traveller, apart from her father, John Henry, and Berenice. But after a while a serious doubt came in her, which even the answers of the bus-driver could not quite satisfy.	The Member of the Wedding	Carson McCullers
06:11	This was at 06:11 and three minutes later I saw the front door of Sorgenicht's house open and a figure show up against the light inside. I had the engine running by the time he'd shut the door and I was rolling the Mercedes with the headlights on as he walked out of sight beyond the building at the end of the street.	Quiller Solitaire	Adam Hall
06:12	The old Seth Thomas clock on Miss Corrie's mantel that probably had ticked away at least a century said twelve minutes past six, and it was still dark outside. A current of warm air had descended on the mountain during the night and thick fog clung to the landscape.	The Angel and the Jabberwocky Murders	Mignon F. Ballard
06:13	As a light drizzle fell from the grey sky at 06:13 three Renault minivans with darkened windows came down a side street, heading for the mosque.	State of Attack	Gary Haynes
06:14	Virtual curtains mirrored her movement, sliding across the screen and dimming the room lighting. The red numbers 06:14 faded but still showed in the top right hand corner. The colony would be rousing.	Mother Moon	Bob Goddard
06:15	It was 6.15 am. Just starting to get light. A small knot of older teenagers were leaning against a nearby wall. They looked as though they had been out all night. Two of the guys stared at us. Their eyes hard and threatening.	Girl, Missing	Sophie McKenzie
06:16	And, as they boarded the 06:16 to Mittelsteine, Erika toyed with the notion that although every metre of this journey took her further from her mother it would also bring her closer to the possibility of seeing Max again and the blossoming of their new little family.	Fifteen Words	Monika Jephcott Thomas
06:17	Dizzy, come on.' He turned slowly, coaxing the animal down on to the pillow. The clock read six-seventeen. A second cat, Miles, purred on contentedly from the patch in the covers where Resnick's legs had made a deep V.	Lonely Hearts	John Harvey
06:18	Ernest Wilkins woke to the clamour of the alarm. He had been thirty years away, reliving the spat between Five and Six over the surveillance operation on Peter Kroger's place…damn good operation, the more so because Six had wanted in and had been seen off. None of their business. It was eighteen minutes past six.	The Journeyman Tailor	Gerald Seymour
06:19	6.19 am, 8th June 2004, the jet of your pupil set in the gold of your eye.	Venus	Carol Ann Duffy
06:20	It was 6:20 a.m., and my parents and I were standing, stunned and haf-awake, in the parking lot of a Howard Johnson's in Iowa.	Soon I Will Be Invincible	Austin Grossman
06:21	The whipped mules dragged the wagon on through a flooded branch that submerged thirty yards of the road and stood up around the bushes and tree-trunks on either side so that they had no rootage, and I watched where and how deep the wheels went while I idled the motor and lighted Gudger's and my own cigarette. It was twenty-one past six.	Let Us Now Praise Famous Men	James Agee & Walker Evans
06:22	Father expected his shaving-water to be ready at a quarter past six. Just seven minutes late, Dorothy took the can upstairs and knocked at her father's door.	A Clergyman's Daughter	George Orwell
06:23	It was twenty-three minutes past six. He actually thought about driving round and round Islington, with the radio on, shouting at it.	It Had to Be You	David Nobbs
06:24	Eventually I track the phone down by the green light on top. Notice that the time display reads 06:24 before I answer. It's Mum. 'Hi,' I say.	Simply Heaven	Serena Mackesy
06:25	Simon is happy to travel scum class when he's on his own and even sometimes deliberately aims for the 6.25.	The Deaths	Mark Lawson
06:26	No lights were on in the master bedroom at this time but it is noted that the official time of sunrise for this date is 0626 hours. Victim is quite clear that sufficient light was entering via the large picture window to allow good visibility.	Roulette	Don & Linda Pendleton
06:27	At 06.27 hours on 1 January 1975, Alfred Archibald Jones was dressed in corduroy and sat in a fume-filled Cavalier Musketeer Estate face down on the steering wheel, hoping the judgement would not be too heavy upon him.	White Teeth	Zadie Smith
06:28	I beg to report the following. 1. At 06.28 yesterday, I was ordered to attend the recovery of a body from the Havel.	Fatherland	Robert Harris
06:29	I sat up. There was a rug over me. I threw that off and got my feet on the floor. I scowled at a clock. The clock said a minute short of six-thirty.	The Big Sleep	Raymond Chandler
06:30	Six-thirty was clearly a preposterous time and he, the client, obviously hadn't meant it seriously. A civilised six-thirty for twelve noon was almost certainly what he had in mind, and if he wanted to cut up rough about it, Dirk would have no option but to start handing out some serious statistics. Nobody got murdered before lunch. But nobody. People weren't up to it. You needed a good lunch to get both the blood-sugar and blood-lust levels up. Dirk had the figures to prove it.	The Long Dark Tea-time of the Soul	Douglas Adams
06:31	It was now 06:31 and still dark, but the lower ranks who were saddled with the daily task of lighting fires, fetching and heating water and preparing food would soon be up and moving around.	Earth-Thunder	Patrick Tilley
06:32	The familiar radium numerals on my left wrist confirmed the clock tower. It was twenty-eight minutes to seven. I seemed to be filling a set of loud maroon pajamas which were certainly not mine. My vis-a-vis was wearing a little number in yellow.	Too Like the Lightning	Dana Chambers
06:33	He got to work. When he pulled up his final calculations, the actual liftoff worked out to 06:33 if they wanted to follow the most optimal course toward transit. While bringing the star map on line, he wondered how close to his liftoff Rufus would come. He'd been doing pretty well lately.	Long Way Home	Darrell Bain
06:34	The clock says it's 06:34 so I definitely need at least another week of sleep, but apparently my body has decided it doesn't want to go through any more dreams like that so it actively refuses to go back under.	His Other Life	Beth Thomas
06:35	My radio-alarm glowed 06:35 in numerals of Mekon green; 150 minutes of life left, that was all.	Black Swan Green	David Mitchell
06:36	'Uh, we got a call, at, ummm … 06:36 … and I sent Eight up on it. He got there, and thinks we should, uh, probably have you come up and take a look.' Her voice seemed to be about an octave higher than usual. 'Eight' referred to Nation County Sheriff's Car Eight, the radio call sign of Tom Borman, a newish deputy with about two years' service.	Code 61	Donald Harstad
06:37	The dashboard clock said 6.37am. Town frowned, and checked his wristwatch, which blinked that it was 1.58pm. Great, he thought. I was either up on that tree for eight hours, or for minus a minute.	American Gods	Neil Gaiman
06:38	The clock on the dashboard said it was 6.38am. He left the keys in the car, and walked toward the tree.	American Gods	Neil Gaiman
06:39	He fired another torpedo at 0639 hours from a distance of 500 metres. Again it missed its intended target, but exploded seven minutes later. The torpedoes would only detonate on impact with a solid object.	Goldfinder	Keith Jessop & Neil Hanson
06:40	Claire drove me to the office, where at six-forty I was not surprised to see my Lexus parked among several other imports. The lot was never empty. We had people who slept at the office.	The Street Lawyer	John Grisham
06:41	A car drove past at a crawl, its driver eyeing her curiously through the slow-moving windscreen wipers, and she pretended to rummage for something in her pocket, trying to look like a normal person, on her way to a normal day. It was nineteen minutes to seven. She heard a familiar voice, carrying towards her on the wind.	The Horse Dancer	Jojo Moyes
06:42	It was 06:42 and he'd just finished his solo morning workout: three circuits of Ring 7 – the second-longest ring in the hab-disk – followed by a half hour pushing and pulling against resistance channels in the gym.	Marine Cadet	Tim C. Taylor
06:43	To London on the 6.43am. Jessica is back from her holiday. Things are looking up, she called me Chris, instead of Minister, when we talked on the phone this afternoon.	A View From the Foothills	Chris Mullin
06:44	Simon is happy to travel scum class when he's on his own and even sometimes deliberately aims for the 6.25. But today the .25 is delayed to 6.44.	The Deaths	Mark Lawson
06:45	He was still hurriedly thinking all this through, unable to decide to get out of the bed, when the clock struck quarter to seven. There was a cautious knock at the door near his head. 'Gregor', somebody called - it was his mother - 'it's quarter to seven. Didn't you want to go somewhere?'	Metamorphosis	Franz Kafka
06:46	At one minute after the quarter to seven I heard the rattle of the cans outside. I opened the front door, and there was my man, singling out my cans from a bunch he carried and whistling through his teeth.	The Thirty-Nine Steps	John Buchan
06:47	I checked Baby-G and the Thuraya: 06:47 and no signal. I pulled up the antenna and pointed it at the entrance. 'You up for it?' He stood, without a flicker of fear.	Deep Black	Andy McNab
06:48	'Yes, it does. Private Trujillo, I mark the time as 06:48 hours. Good luck. Go.'	The Amazon Legion	Tom Kratman
06:49	Night ends, 6:49. Meet in the coffee shop at 7:30; press conference at 10.	Fear and Loathing on the Campaign Trail '72	Hunter S. Thompson
06:50	Will, my fiancé, was coming from Boston on the six-fifty train - the dawn train, the only train that still stopped in the small Ohio city where I lived.	Pretty Ice	Mary Robison
06:51	She scrambled two eggs and stuffed them into a croissant, wolfed it down with a fruit smoothie while standing next to the stove, rushed off to brush her teeth, grabbed a couple of vitamins, and headed out of the house at nine minutes to seven.	Arcane Wisdome	Chelsea Quinn Yarbro
06:52	Having lied to Mum, I realised that my only option was to take the 06.52 to London as if I hadn't been dismissed at all.	The Hunger and the Howling of Killian Lone	Will Storr
06:53	So that was the key to asking my questions, to wait exactly 77 minutes before seven minutes to seven and I would then get my answer.	The Quarter Moon	Stephanie Hudson
06:54	And to see if maybe – just maybe – she might have answered him, even though it was now six minutes before seven in the morning. He figured she was still in Dylan’s bed, probably going on for round seven (knowing Dylan), and there wasn’t a chance in hell that she would...wait, what?	Her Billionaires	Julia Kent
06:55	At 6:55 am Lisa parked and took the lift from the frozen underground car park up to level 1 of Green Oaks Shopping Centre.	What Was Lost	Catherine O'Flynn
06:56	Well, I've only to say that I'm sorry to cause all this fuss, y' know—and, well, yes, I would like a smoke, replied the condemned man, and added hastily: 'Don't think I want to delay things for a moment though—but if there is time….'<br>'It is four minutes to seven,' said Major Ranald, 'and tobacco and matches are not supposed to be found in a Government Jail.'	Driftwood Spars	Percival Christopher Wren
06:57	'Put everything on it just as I showed you yesterday?'<br>'Nom! I ain't put nothin' on it. I jes' sot the cheers up to it, but all the gals is got ter do is jes' retch the things off'n the sidebo'd.' That meant that Helen must run and get the table set as quickly as possible as it was three minutes to seven.	The Carter Girls' Mysterious Neighbors	Nell Speed
06:58	They waited. At exactly two minutes to seven, a white car came into view and pulled into the employee's parking lot behind the building.	Small Sacrifices	Ann Rule
06:59	It was 6.59 a.m. on Maundy Thursday as Blomkvist and Berger let themselves into the 'Millennium' offices.	The Girl Who Played With Fire	Stieg Larsson
07:00	Seven o'clock, already, he said to himself when the clock struck again, 'seven o'clock, and there's still a fog like this.'	Metamorphosis	Franz Kafka
07:01	I took the first tentative step towards finding out at one minute past seven the next morning, in Fort Bird's mortuary.	The Enemy	Lee Child
07:02	07:02:18 One and a half hours. 'Case,' she said, 'I wanna favour.'	Neuromancer	William Gibson
07:03	7:03am General Tanz woke up as though aroused by a mental alarm-clock.	The Night of the Generals	Hans Hellmut Kirst
07:04	it was four-past seven, but you could almost set your watch by their raucous calling to their comrades. Evidently, the crows were still in residence. A city girl, I was used to beginning my day with an alarm clock, but not here. Here, Nature wanted you up, just like she was, and she would not take no for an answer. Nature. She always got her way.	Storm Damage	Linda Underwood
07:05	Outside my window the sky hung low and gray. It looked like snow, which added to my malaise. The clock read five after seven. I punched the remote control and watched the morning news as I lay in bed.	Dance Dance Dance	Haruki Murakami
07:06	Percy subscribed to that old axiom about how you should get right back on the horse that had thrown you, because here he came through the door at six minutes past seven, resplendent in his blue uniform with his sidearm on one hip and his hickory stick in its ridiculous custom-made holster on the other.	The Green Mile	Stephen King
07:07	When Joubert walked into the parade room at seven minutes past seven on the first of January, forty detectives were already seated on the blue-gray government-issue chairs placed in a large rectangle against the four walls. The muted buzz speculated about the new man, this Bart de Wit.	Dead Before Dying	Deon Meyer
07:08	Reacher had no watch but he figured when he saw Gregory it must have been between eight and nine minutes after seven o'clock.	The Hard Way	Lee Child
07:09	Seven-nine, breakfast time, seven-nine!	There Will Come Soft Rains	Ray Bradbury
07:10	A search in Bradshaw informed me that a train left St Pancras at 7.10, which would land me at any Galloway station in the late afternoon.	The Thirty-Nine Steps	John Buchan
07:11	'Anyway, every morning at eleven minutes past seven he'd slam the door and rev the engine like he was starting a grand prix, ruining my beauty sleep, especially if I'd just come off nights.'	Limestone Cowboy	Stuart Pawson
07:12	At twelve minutes past seven, in the kitchen Kimberley was becoming anxious.	The Private Patient	P. D. James
07:13	It was all the more surprising and indeed alarming a little later, said Austerlitz, when I looked out of the corridor window of my carriage just before the train left at seven-thirteen, to find it dawning upon me with perfect certainty that I had seen the pattern of glass and steel roof above the platforms before.	Austerlitz	W.G. Sebald
07:14	At 7.14 Harry knew he was alive. He knew that because the pain could be felt in every nerve fibre.	The Redeemer	Jo Nesbø
07:15	Gough again knocked on Mr and Mrs Kent's bedroom door. This time it was opened - Mary Kent had got out of bed and put on her dressing gown, having just checked her husband's watch: it was 7.15. A confused conversation ensued, in which each woman seemed to assume Saville was with the other.	The Suspicions of Mr Whicher	Kate Summerscale
07:16	The Zombie SmartGuide works much harder to construct these fictional, time-travel tooth-brushing scenarios than it ever did on normal tooth-brushing scenarios when it was alive. It literally does this all day long. Lately it's taken to showing the transition from 07.16 to 07.17 quite frequently.	The Seed Collectors	Scarlett Thomas
07:17	As of 7.17am local time on 30 June 1908, Padzhitnoff had been working for nearly a year as a contract employee of the Okhrana, receiving five hundred rubles a month, a sum which hovered at the exorbitant end of spy-budget outlays for those years.	Against the Day	Thomas Pynchon
07:18	It stopped at eighteen minutes past seven somewhere, some day, and hasn't ticked since.	Fish in the Sky	Fridrik Erlings
07:19	I opened the sunroof and turned up the CD player volume to combat fatigue, and at 7.19am on Saturday, with the caffeine still running all around my brain, Jackson Browne and I pulled into Moree.	The Rosie Project	Graeme Simsion
07:20	He who had been a boy very credulous of life was no longer greatly interested in the possible and improbable adventures of each new day. He escaped from reality till the alarm-clock rang, at seven-twenty.	Babbitt	Sinclair Lewis
07:21	In excess of 1400 shells were fired. The all-clear was sounded at 07:21 on morning of 25 Feb. We now know as well as minor material damage to buildings and vehicles, there were 5 fatalities as an indirect result of the incident.	The Blood Red City	Justin Richards
07:22	'It looks like he died from injuries sustained falling from a wall,' Briggs said. 'Could be accident, suicide, who knows? He was discovered dead at 0722 this morning.'	The Big Over Easy	Jasper Fforde
07:23	New York and Connecticut, as you may see by your pocket calendar, the sun rises at twenty-three minutes past seven on Christmas morning. He sprang to his feet in astonishment, and at the sound Newton awoke and looked up in blank and sleepy surprise. 'Merry Christmas, my boy!' cried Overholt, and he laughed happily. 'Not yet,' answered Newton in a disappointed tone, and rubbing his arm, which was stiff.	The Little City of Hope: A Christmas Story	F. Marion Crawford
07:24	I sat down at my desk and logged on to the network, my head in my hands as I waited for the emails to load. I looked at the list of unread emails in the inbox: four or five from customers, relating to contracts I was working on. And then twelve emails from Ian Dunkerley, one after the other, starting at 07:24 this morning.	Revenge of the Tide	Elizabeth Haynes
07:25	At twenty-five minutes past seven: Ker Karraje, Engineer Serko and Captain Spade advance to the extremity of the point, where they sweep the north-western horizon with their telescopes.	Facing the Flag	Jules Verne
07:26	Chuck was on deck at twenty-six minutes past seven when marines in helmets and backpacks began to swarm down the rope nets hanging over the sides of the ship and jump into high-sided landing craft.	Winter of the World	Ken Follett
07:27	His appointment with the doctor was for 8.45. It was 7.27.	The Return of the Dancing Master	Henning Mankell
07:28	Now, on the 288th day of this year (because it is a leap year), I am awake 7:28. Further, I am all but certain that I have never awoken at this particular time. I will have to check my data, as I don't like to trust assumptions. I prefer facts.	600 Hours of Edward	Craig Lancaster
07:29	At 7.29 in the morning of 1 July, the cinematographer finds himself filming silence itself.	At Break of Day	Elizabeth Speller
07:30	By 07.30 I have already memorized the breakfast news round-up. Trade talks, summits, visiting dignitaries.	number9dream	David Mitchell
07:31	I told him he'd sold me on that and we folded the maps and put them back into their waterproof pouches. This was at 07:31 and Ferris got up and stretched his legs and asked for flying instructions.	The Sinkiang Executive	Adam Hall
07:32	At 7:32, he suffered a fatal stroke.	IT	Stephen King
07:33	He was taken from me, by the inscrutable decree of the Almighty, on the fifth of this month at thirty-three minutes past seven in the morning, and died in peace of an influential attack of the chest — he had been asthmatic of late years, though otherwise in good health, praise God.	The Sin of Joost Avelingh: A Dutch Story	Maarten Maartens
07:34	7:34.Monday morning, Blackeberg. The burglar alarm at the ICA grocery store on Arvid Morne's way is set off.	Let the Right One In	John Ajvide Lindqvist
07:35	At 7:35am Ishigami left his apartment as he did every weekday morning.	The Devotion of Suspect X	Keigo Higashino
07:36	7:36, sunrise. The hospital blinds were much better, darker than her own.	Let the Right One In	John Ajvide Lindqvist
07:37	My telephone rang at twenty-three minutes to eight, just as I put a cup of coffee down on the breakfast table.	Satellite People	Hans Olav Lahlum
07:38	'I was afraid you'd change your mind, or something. Besides, it's now twenty-two minutes to eight.	Fanny Herself	Edna Ferber
07:39	Now, at the station, do you recall speaking to Mr Joseph Markew?'<br>'Yes, indeed. I was standing on the platform waiting for my usual train - the 7.39 - when he accosted me.'	Arthur & George	Julian Barnes
07:40	Captain Lloyd averred that he saw it at twenty minutes to eight on a fine, sunshiny morning, so close and clear to him that he forbore lowering a boat.	The Grain Ship	Morgan Robertson
07:41	The robbery , would have been going on, and - But it wasn't going on! It was two-thirty-four, well	The Dark Flower	John Galsworthy
07:42	Seven forty-two am., Mr Gasparian: I curse you. I curse your arms so they will wither and die and fall off your body...	Magic Bleeds	Ilona Andrews
07:43	I checked my watch. It was seventeen minutes to eight. It seemed to me that should give me plenty of leeway, but I hadn't been there five minutes before I started to worry that I'd missed him.	The Burglar Who Thought He Was Bogart	Lawrence Block
07:44	The Goth was obviously right. What does it matter, really, if I'm a bit late for work? She voices her thoughts: 'It's not exactly how you'd choose to go, is it? You'd rather die flying a kite with your grandchildren, or at a great party or something. Not on the seven forty-four.'	One Moment, One Morning	Sarah Rayner
07:45	Mr Green left for work at a quarter to eight, as he did every morning. He walked down his front steps carrying his empty-looking leatherette briefcase with the noisy silver clasps, opened his car door, and ducked his head to climb into the driver's seat.	A Crime in the Neighborhood	Suzanne Berne
07:46	He awoke with a start. The clock on his bedside table said 7.46 a.m. He cursed, jumped out of bed and dressed. He stuffed his toothbrush and toothpaste in his jacket pocket, and parked outside the station just before 8 a.m. In reception, Ebba beckoned to him.	The Dogs of Riga	Henning Mankell
07:47	I saw Ferris for a few minutes in the Base Operations Office. He said the embassy call had conveyed a London signal asking for confirmation that Slingshot was ready to go into access phase at first light tomorrow, 07.47 local time.	The Sinkiang Executive	Adam Hall
07:48	He explained what had happened, and where he could find her, and told him to take his camel to go fetch her. Then he slurped down a cup of tea, crammed a slice of toast into his mouth, and ran out the door. He made it onto the ship at exactly twelve minutes to eight.	The Wild Rose	Jennifer Donnelly
07:49	Salish put down the phone, satisfied that he had acted quickly and properly. He started to fill his pipe, glanced at his watch, and made an entry in the log: 'September 22nd, 0749 hours—anticollision radar scanner and computer ceased to function—(third malfunction in 24 hrs.).'	Firespill	Ian Slater
07:50	At about ten minutes to eight, Jim had squared the part of the work he had been doing - the window - so he decided not to start on the door or the skirting until after breakfast.	The Ragged Trousered Philanthropists	Robert Tressell
07:51	'Good morning!' he said brightly to the surprised imp. 'What is the time, please?'<br>'Er . . . nine minutes to eight, Insert Name Here,' said the imp. 'So that would mean a speed slightly above one mile a minute,' mused Vimes. 'Very good.'	Thud!	Terry Pratchett
07:52	Homicide Detective David Neiser arrived at the house on Twin Peaks Drive at eight minutes to eight. Chief Criminal Deputy Joe Doench was already there.	In the Still of the Night	Ann Rule
07:53	'What time is it?'<br>'Seven to eight. Won't be long now ...'	Never Go Back	Robert Goddard
07:54	When I awoke on the arrival of the others, it was six minutes to eight in the morning of the same day, today. Not two hours had passed from my rising, and time was back to normal. But the things that happened in that time that could never be compressed into two hours.	The Six Fingers of Time	R. A. Lafferty
07:55	at 7.55 this morning the circus ran away to join me.	Tightrope	Roger McGough
07:56	The Castle Gate - only the Castle Gate - and it was four minutes to eight.	Buddenbrooks	Thomas Mann
07:57	The seasoned commuter, by long and arduous practice, eliminates these errors; but we, who go to New York but once in a week or so, are unskilled in early morning hustles, and generally see the tail-end of the express disappearing in the cutting. This morning, however, I managed to get out of the house by three minutes to eight, sufficient time for an athlete to do the half-mile to the station.	Aliens	William McFee
07:58	She and Mel got through the final security checks at two minutes to eight, and, following a sign, hurried to the Hilton′s big assembly hall.	Ark	Stephen Baxter
07:59	I'd spent fifty two days in 1958, but here it was 7.59 in the morning.	11/22/63	Stephen King
08:00	Three days after the quarrel, Prince Stepan Arkadyevitch Oblonsky - Stiva, as he was called in the fashionable world -  woke up at his usual hour, that is, at eight o'clock in the morning, not in his wife's bedroom, but on the leather-covered sofa in his study.	Anna Karenina	Leo Tolstoy
08:01	Eight-one, tick-tock, eight-one o'clock, off to school, off to work, run, run, eight-one!	There Will Come Soft Rains	Ray Bradbury
08:02	. . . bingeley . . . Eight oh two eh em, Death of Corporal Littlebottombottom . . .	Jingo	Terry Pratchett
08:03	Eight oh three eh em . . . Death of Sergeant Detritus . . . Eight oh threethreethree eh em and seven seconds seconds . . . Death of Constable Visit . . . Eight oh three eh em and nineninenine seconds . . . Death of death of death of . . .	Jingo	Terry Pratchett
08:04	To us, the artillery camped out in the orchard was a matter of singular unimportance, except that you could tell the time by the single shot, which was always at 8.04 precisely.	The Last Dragonslayer	Jasper Fforde
08:05	There was felt a slight jerk as they reached the end of the rope, and then they began to move in a circle from east to west. Phoebe glanced at the clock. 'Just five minutes past eight,' she said.	The Panchronicon	Harold Steele MacKaye
08:06	Einstein gives her his manuscript, his theory of time. It is six minutes past eight. He walks to his desk, glances at the stack of files, goes over to a bookshelf, and starts to remove one of the notebooks.	Einstein's Dreams	Alan Lightman
08:07	It was seven minutes past eight when Lara saw Betty Jeffries hurrying towards the school with her children in tow.	Dreams beneath a Red Sun	Elizabeth Haran
08:08	C at 8:08 and so on, and the same for quitting times, in such a manner that never would two colleagues have the opportunity to travel in the same tramcar.	Phosphorus	Primo Levi
08:09	Daylight here was just after six, so by now she should be high on a jet, heading back to New Zealand. A startled glance at her watch revealed that it was nine minutes past eight. No, she should be landing in the cold grey winter of Auckland. Jolted, she leapt off the bed and ran from the cabin.	Surrender to Seduction	Robyn Donald
08:10	Amory rushed into the house and the rest followed with a limp mass that they laid on the sofa in the shoddy little front parlor. Sloane, with his shoulder punctured, was on another lounge. He was half delirious, and kept calling something about a chemistry lecture at 8:10.	This Side of Paradise	F. Scott Fitzgerald
08:11	The wall-clock had reached eleven minutes past eight. He knew he would have to break all his previous records to make the train on time.	Sucking Sherbert Lemons	Michael Carson
08:12	At 8:12 a.m., just before the moment of pff, all the business of the cellars was being transacted - garbage transferred from small cans into large ones; early wide-awake grandmas, rocky with insomnia, dumped wash into the big tubs; boys in swimming trunks rolled baby carriages out into the cool morning.	In Time Which Made A Monkey Of Us All	Grace Paley
08:13	At 8:13 a.m. the alarm clock in the laboratory gave the ringing word. Eddie touched a button in the substructure of an ordinary glass coffeepot, from whose spout two tubes proceeded into the wall.	In Time Which Made A Monkey Of Us All	Grace Paley
08:14	At fourteen minutes past eight, a man came in, wearing a sheepskin coat. He was sucking on a hand-rolled cigarette. The man stuck out his hand, cheerfully. 'You'll be Mister Moon,' he said.	The Monarch of the Glen	Neil Gaiman
08:15	It was in the winter when this happened, very near the shortest day, and a week of fog into the bargain, so the fact that it was still very dark when George woke in the morning was no guide to him as to the time. He reached up, and hauled down his watch. It was a quarter-past eight.	Three Men in a Boat	Jerome K. Jerome
08:16	The clock works. The time is sixteen minutes past eight. The clock never worked all those years it followed Scarpetta in her mirrors as she drove back and forth to take care of the dead.	Trace	Patricia Cornwell
08:17	Monday, July 1. Chronometer, 8.17 a.m.; barometer, 297 in.; thermometer, 6° (43° F.). Direction, E.S.E.	Journey to the Centre of the Earth	Jules Verne
08:18	Say they left at seventeen or eighteen minutes past eight. In that case they must have followed Joanne Garland and might well be supposed to be driving faster than she ... '<br>'Unless they took the byroad.'	Kissing the Gunner's Daughter	Ruth Rendell
08:19	I had arranged to meet the Occupational Health Officer at 10:30. I took the train from Watford Junction at 8.19 and arrived at London Euston seven minutes late, at 8.49.	The Terrible Privacy of Maxwell Sim	Jonathan Coe
08:20	When the typewriters happen to pause (8:20 and other mythical hours), and there are no flights of American bombers in the sky, and the motor traffic's not too heavy in Oxford Street, you can hear winter birds cheeping outside, busy at the feeders the girls have put up.	Gravity's Rainbow	Thomas Pynchon
08:21	It's 08:21 already, I slept for long and now I'm having some, the left is so creamy. Old Nick didn't come back I don't think.	Room	Emma Donoghue
08:22	Daisy Flory made her 999 call at twenty-two minutes past eight, within a few minutes of their leaving.	Kissing the Gunner's Daughter	Ruth Rendell
08:23	And then Wedderburn looked at his watch. 'Twenty-three minutes past eight. I am going up by the quarter to twelve train, so that there is plenty of time. I think I shall wear my alpaca jacket - it is quite warm enough - and my grey felt hat and brown shoes. I suppose'	The Flowering of the Strange Orchid	H. G. Wells
08:24	At 8:23 there seemed every chance of a lasting alliance starting between Florin and Guilder. At 8:24 the two nations were very close to war.	The Princess Bride	William Goldman
08:25	At twenty-five minutes past eight a second shock took place, this time from behind. I turned pale. My companions were close by my side. I seized Conseil's hand. Our looks expressed our feelings better than words.	Twenty Thousand Leagues Under the Sea	Jules Verne
08:26	It exploded much later than intended, probably a good twelve hours later, at twenty-six minutes past eight on Monday morning. Several defunct wristwatches, the property of victims, confirmed the time. As with its predecessors over the last few months, there had been no warning.	The Little Drummer Girl	John le Carré
08:27	Even dawdling over breakfast with my mother just killed an hour, and though I hadn't planned to be at Marge's until nine, I was knocking on her door at twenty-seven minutes past eight.	Fatally Frosted	Jessica Beck
08:28	And at 8.28 on the following morning, with a novel chilliness about the upper lip, and a vast excess of strength and spirits, I was sitting in a third-class carriage, bound for Germany, and dressed as a young sea-man, in a pea-jacket, peaked cap, and comforter.	The Riddle of the Sands	Erskine Childers
08:29	At 8.29 I punched the front doorbell in Elgin Crescent. It was opened by a small oriental woman in a white apron. She showed me into a large, empty sitting room with an open fire and a couple of huge oil paintings.	Engleby	Sebastian Faulks
08:30	At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.	Harry Potter and the Philosopher's Stone	J. K. Rowling
08:31	He arrived at his conclusions by as methodical a series of mental actions as he arrived at his desk every morning at twenty-nine minutes to nine. But these were not ordinary circumstances.	A Romance of Billy-Goat Hill	Alice Caldwell Hegan Rice
08:32	All looked in the direction of the familiar voice. Their Instructor in Woodcraft had appeared among them as unobtrusively as a shadow. Scout Master Hall looked at his watch. The hands showed that it lacked twenty-eight minutes to nine.	The Boy Patrol on Guard	Edward Sylvester Ellis
08:33	I remember at 08:33 that I remembered what had happened last night and who was in my house	The Book That THEY Do Not Want You To Read, Part 1	Andy Ritchie
08:34	At 08:34 hours precisely General Conrad Pyne's black official Rover 800 stopped outside the ugly wrought iron barrier that guarded the entrance into Downing Street.	Doomsday Ultimatum	James Follett
08:35	Old gummy granny (thrusts a dagger towards Stephen's hand) Remove him, acushla. At 8.35 a.m. you will be in heaven and Ireland will be free (she prays) O good God take him!	Ulysses	James Joyce
08:36	The first maroon had been fired at 08.36 and the second a few moments later. The puffs of green smoke from the maroons were still hanging in the sky above the boathouse when Pete arrived, breathless but still running.	Lifeboat!	Margaret Dickinson
